DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3/26/2018,0:00,BRONX,10456,40.8375,-73.91061,"(40.8375, -73.91061)",COLLEGE AVENUE                  ,EAST 170 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3871336,PASSENGER VEHICLE,,,,
3/26/2018,0:00,BROOKLYN,11207,40.68187,-73.89162,"(40.68187, -73.89162)",,,143       SUNNYSIDE AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,3869829,SPORT UTILITY / STATION WAGON,,,,
3/26/2018,0:00,MANHATTAN,10034,40.868366,-73.91643,"(40.868366, -73.91643)",,,506       WEST 213 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3870871,SPORT UTILITY / STATION WAGON,,,,
3/26/2018,0:00,MANHATTAN,10128,40.78263,-73.9512,"(40.78263, -73.9512)",3 AVENUE                        ,EAST 92 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3870833,TAXI,PASSENGER VEHICLE,,,
3/26/2018,0:00,,,40.7672,-73.887825,"(40.7672, -73.887825)",GRAND CENTRAL PARKWAY           ,82 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3870350,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,0:00,,,40.68327,-73.95016,"(40.68327, -73.95016)",NOSTRAND AVENUE                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3870811,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,0:00,QUEENS,11366,40.725353,-73.80844,"(40.725353, -73.80844)",76 AVENUE                       ,160 STREET,,1,0,0,0,0,0,1,0,View Obstructed/Limited,Unspecified,Unspecified,,,3871521,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
3/26/2018,0:06,BROOKLYN,11203,40.637276,-73.93177,"(40.637276, -73.93177)",FARRAGUT ROAD                   ,SCHENECTADY AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3869923,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,0:07,BRONX,10451,40.81934,-73.93012,"(40.81934, -73.93012)",EAST 149 STREET                 ,RIVER AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3870642,TAXI,,,,
3/26/2018,0:10,BROOKLYN,11230,40.627186,-73.95669,"(40.627186, -73.95669)",,,1430      OCEAN AVENUE                  ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3869354,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,0:10,,,40.69078,-73.72728,"(40.69078, -73.72728)",CROSS ISLAND PARKWAY            ,LINDEN BOULEVARD,,3,0,0,0,0,0,3,0,Passing or Lane Usage Improper,Unspecified,,,,3869472,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,0:13,QUEENS,11423,40.712467,-73.77282,"(40.712467, -73.77282)",187 PLACE                       ,90 AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3869460,PASSENGER VEHICLE,MOTORCYCLE,,,
3/26/2018,0:15,BROOKLYN,11212,40.671787,-73.90544,"(40.671787, -73.90544)",SACKMAN STREET                  ,GLENMORE AVENUE,,0,0,0,0,0,0,0,0,,,,,,3869774,,,,,
3/26/2018,0:15,QUEENS,11356,40.78918,-73.83817,"(40.78918, -73.83817)",130 STREET                      ,9 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3870161,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,0:30,,,40.665737,-73.75194,"(40.665737, -73.75194)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869473,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,0:30,,,40.704033,-73.81711,"(40.704033, -73.81711)",VANWYCK EXPRESSWAY              ,HILLSIDE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,3869389,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,0:30,,,40.87656,-73.90436,"(40.87656, -73.90436)",MAJOR DEEGAN EXPRESSWAY         ,,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unspecified,,,,3869336,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,0:41,,,40.67043,-73.928185,"(40.67043, -73.928185)",ROCHESTER AVENUE                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3870533,PICK-UP TRUCK,PASSENGER VEHICLE,,,
3/26/2018,0:50,,,40.73652,-73.92834,"(40.73652, -73.92834)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3869317,PASSENGER VEHICLE,VN,,,
3/26/2018,10:00,BROOKLYN,11233,40.674297,-73.91112,"(40.674297, -73.91112)",,,241       ROCKAWAY AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3869771,PASSENGER VEHICLE,,,,
3/26/2018,10:00,BROOKLYN,11233,40.681484,-73.933174,"(40.681484, -73.933174)",,,265       DECATUR STREET                ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3869742,DP,TK,,,
3/26/2018,10:00,MANHATTAN,10022,,,,East 53 street                  ,Lexington avenue,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869671,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:00,MANHATTAN,10025,40.796642,-73.96848,"(40.796642, -73.96848)",AMSTERDAM AVENUE                ,WEST 100 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3870895,PASSENGER VEHICLE,,,,
3/26/2018,10:00,QUEENS,11102,40.77051,-73.92547,"(40.77051, -73.92547)",28 AVENUE                       ,23 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3869917,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/15/2018,15:50,,,40.638603,-73.94827,"(40.638603, -73.94827)",NOSTRAND AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3863120,DS,,,,
3/26/2018,10:00,QUEENS,11362,40.75783,-73.73737,"(40.75783, -73.73737)",244 STREET                      ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869686,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,10:00,QUEENS,11416,40.68322,-73.854706,"(40.68322, -73.854706)",,,85-24     ROCKAWAY BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869898,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:00,,,40.755344,-73.90799,"(40.755344, -73.90799)",53 PLACE                        ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3869915,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,10:00,,,40.783573,-73.94309,"(40.783573, -73.94309)",FDR DRIVE RAMP                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3869732,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3/26/2018,10:00,,,40.672558,-73.99883,"(40.672558, -73.99883)",HAMILTON AVENUE                 ,SMITH STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3869841,TRUCK,PASSENGER VEHICLE,,,
3/26/2018,10:00,MANHATTAN,10027,40.80761,-73.95305,"(40.80761, -73.95305)",WEST 121 STREET                 ,8 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3871070,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
